央视,#genre#
浙江卫视HD,http://183.207.249.139/ott.js.chinamobile.com/PLTV/3/224/3221225544/index.m3u8
深圳卫视HD,http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221227442/index.m3u8
深圳卫视HD,http://183.207.248.141/ott.js.chinamobile.com/PLTV/3/224/3221227217/index.m3u8
深圳卫视HD,http://183.207.249.139/ott.js.chinamobile.com/PLTV/3/224/3221227555/index.m3u8
湖北卫视HD,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221227479/index.m3u8
辽宁卫视HD,http://183.207.248.168/ott.js.chinamobile.com/PLTV/3/224/3221227380/index.m3u8
辽宁卫视HD,http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221227485/index.m3u8
地方卫视,#genre#
黑龙江卫视HD,http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221227492/index.m3u8
黑龙江卫视HD,http://183.207.249.165/ott.js.chinamobile.com/PLTV/3/224/3221227514/index.m3u8
凤凰中文,http://183.207.248.170/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
黑莓电影HD,http://183.207.249.169/ott.js.chinamobile.com/PLTV/3/224/3221225539/index.m3u8
常州公共HD,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227905/index.m3u8
常州新闻综合HD,http://183.207.248.134/ott.js.chinamobile.com/PLTV/3/224/3221227899/index.m3u8
常州新闻综合HD,http://183.207.248.167/ott.js.chinamobile.com/PLTV/3/224/3221227752/index.m3u8
徐州1HD,http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221225945/index.m3u8
徐州2HD,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221225947/index.m3u8
徐州3HD,http://183.207.248.174/ott.js.chinamobile.com/PLTV/3/224/3221225949/index.m3u8
沛县综艺HD,http://183.207.248.141/ott.js.chinamobile.com/PLTV/3/224/3221227681/index.m3u8
连云港新闻综合HD,http://183.207.248.175/ott.js.chinamobile.com/PLTV/3/224/3221227758/index.m3u8
CCTV-9,http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221225868/index.m3u8
CCTV-发现之旅,http://183.207.248.135/ott.js.chinamobile.com/PLTV/3/224/3221227030/index.m3u8
CGTN,http://183.207.249.136/ott.js.chinamobile.com/PLTV/3/224/3221225917/index.m3u8
CETV-1,http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221225909/index.m3u8
东南卫视,http://183.207.249.133/ott.js.chinamobile.com/PLTV/3/224/3221225816/index.m3u8
云南卫视,http://183.207.248.138/ott.js.chinamobile.com/PLTV/3/224/3221225591/index.m3u8
天津卫视,http://183.207.249.144/ott.js.chinamobile.com/PLTV/3/224/3221225808/index.m3u8
宁夏卫视,http://183.207.248.168/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
广西卫视,http://183.207.249.172/ott.js.chinamobile.com/PLTV/3/224/3221225806/index.m3u8
新疆卫视,http://183.207.249.169/ott.js.chinamobile.com/PLTV/3/224/3221225523/index.m3u8
江苏卫视,http://183.207.248.171/ott.js.chinamobile.com/PLTV/3/224/3221227311/index.m3u8
江苏卫视,http://183.207.249.138/ott.js.chinamobile.com/PLTV/3/224/3221227289/index.m3u8
江苏卫视,http://183.207.249.139/ott.js.chinamobile.com/PLTV/3/224/3221227389/index.m3u8
江西卫视,http://183.207.248.138/ott.js.chinamobile.com/PLTV/3/224/3221225798/index.m3u8
湖北卫视,http://183.207.249.141/ott.js.chinamobile.com/PLTV/3/224/3221225877/index.m3u8
西藏卫视,http://183.207.249.138/ott.js.chinamobile.com/PLTV/3/224/3221226376/index.m3u8
贵州卫视,http://183.207.248.135/ott.js.chinamobile.com/PLTV/3/224/3221225787/index.m3u8
重庆卫视,http://183.207.248.168/ott.js.chinamobile.com/PLTV/3/224/3221225812/index.m3u8
山东教育卫视,http://183.207.248.168/ott.js.chinamobile.com/PLTV/3/224/3221227019/index.m3u8
NNM家庭理财,http://183.207.249.174/ott.js.chinamobile.com/PLTV/3/224/3221227011/index.m3u8
上海哈哈炫动,http://183.207.248.141/ott.js.chinamobile.com/PLTV/3/224/3221226388/index.m3u8
江苏综艺,http://183.207.249.172/ott.js.chinamobile.com/PLTV/3/224/3221225931/index.m3u8
江苏优漫卡通,http://183.207.248.137/ott.js.chinamobile.com/PLTV/3/224/3221225933/index.m3u8
广东嘉佳卡通,http://183.207.249.172/ott.js.chinamobile.com/PLTV/3/224/3221227009/index.m3u8
北京卡酷少儿,http://183.207.248.137/ott.js.chinamobile.com/PLTV/3/224/3221226305/index.m3u8
湖南金鹰卡通,http://183.207.248.174/ott.js.chinamobile.com/PLTV/3/224/3221226303/index.m3u8
弈坛春秋,http://183.207.249.167/ott.js.chinamobile.com/PLTV/3/224/3221227031/index.m3u8
